pos     5pC>T
1       0.267772511848341
2       0.135057471264368
3       0.107954545454545
4       0.130177514792899
5       0.096
6       0.0635359116022099
7       0.0403458213256484
8       0.0760233918128655
9       0.0646067415730337
10      0.039344262295082
11      0.0344827586206897
12      0.0172413793103448
13      0.0410958904109589
14      0.0262390670553936
15      0.0266272189349112
16      0.024390243902439
17      0.0306406685236769
18      0.0333333333333333
19      0.0175438596491228
20      0.0238805970149254
21      0.0112359550561798
22      0.0321637426900585
23      0.0346820809248555
24      0.0184615384615385
25      0.0167597765363128
