Sample	Level	Value
Ahypogaea_5k	Species	147
Ahypogaea_500	Species	15
Ahypogaea_50	Species	1
Celephus_5k	Species	0
Celephus_500	Species	0
Celephus_50	Species	0
Ggallus_5k	Species	285
Ggallus_500	Species	23
Ggallus_50	Species	3
Hsapiens_5k	Species	353
Hsapiens_500	Species	37
Hsapiens_50	Species	4
Ocuniculus_5k	Species	2515
Ocuniculus_500	Species	227
Ocuniculus_50	Species	31
Ppersica_5k	Species	0
Ppersica_500	Species	0
Ppersica_50	Species	0
Slycopersicum_5k	Species	62
Slycopersicum_500	Species	4
Slycopersicum_50	Species	0
Ssalar_5k	Species	1757
Ssalar_500	Species	186
Ssalar_50	Species	19
Sscrofa_5k	Species	1249
Sscrofa_500	Species	125
Sscrofa_50	Species	11
Taestivum_5k	Species	763
Taestivum_500	Species	76
Taestivum_50	Species	7
Zmays_5k	Species	262
Zmays_500	Species	28
Zmays_50	Species	5
Ahypogaea_5k	Genus	895
Ahypogaea_500	Genus	99
Ahypogaea_50	Genus	6
Celephus_5k	Genus	0
Celephus_500	Genus	0
Celephus_50	Genus	0
Ggallus_5k	Genus	1228
Ggallus_500	Genus	138
Ggallus_50	Genus	12
Hsapiens_5k	Genus	19
Hsapiens_500	Genus	2
Hsapiens_50	Genus	0
Ocuniculus_5k	Genus	0
Ocuniculus_500	Genus	0
Ocuniculus_50	Genus	0
Ppersica_5k	Genus	731
Ppersica_500	Genus	75
Ppersica_50	Genus	7
Slycopersicum_5k	Genus	467
Slycopersicum_500	Genus	52
Slycopersicum_50	Genus	6
Ssalar_5k	Genus	262
Ssalar_500	Genus	18
Ssalar_50	Genus	2
Sscrofa_5k	Genus	831
Sscrofa_500	Genus	89
Sscrofa_50	Genus	5
Taestivum_5k	Genus	357
Taestivum_500	Genus	36
Taestivum_50	Genus	7
Zmays_5k	Genus	91
Zmays_500	Genus	10
Zmays_50	Genus	1
Ahypogaea_5k	Unclassified	2070
Ahypogaea_500	Unclassified	217
Ahypogaea_50	Unclassified	24
Celephus_5k	Unclassified	4239
Celephus_500	Unclassified	424
Celephus_50	Unclassified	37
Ggallus_5k	Unclassified	1728
Ggallus_500	Unclassified	162
Ggallus_50	Unclassified	26
Hsapiens_5k	Unclassified	4508
Hsapiens_500	Unclassified	454
Hsapiens_50	Unclassified	45
Ocuniculus_5k	Unclassified	1770
Ocuniculus_500	Unclassified	209
Ocuniculus_50	Unclassified	12
Ppersica_5k	Unclassified	2155
Ppersica_500	Unclassified	209
Ppersica_50	Unclassified	17
Slycopersicum_5k	Unclassified	3204
Slycopersicum_500	Unclassified	326
Slycopersicum_50	Unclassified	29
Ssalar_5k	Unclassified	1720
Ssalar_500	Unclassified	163
Ssalar_50	Unclassified	17
Sscrofa_5k	Unclassified	1696
Sscrofa_500	Unclassified	170
Sscrofa_50	Unclassified	15
Taestivum_5k	Unclassified	3238
Taestivum_500	Unclassified	329
Taestivum_50	Unclassified	33
Zmays_5k	Unclassified	1987
Zmays_500	Unclassified	202
Zmays_50	Unclassified	20
Ahypogaea_5k	Other	1888
Ahypogaea_500	Other	169
Ahypogaea_50	Other	19
Celephus_5k	Other	761
Celephus_500	Other	76
Celephus_50	Other	13
Ggallus_5k	Other	1759
Ggallus_500	Other	177
Ggallus_50	Other	9
Hsapiens_5k	Other	120
Hsapiens_500	Other	7
Hsapiens_50	Other	1
Ocuniculus_5k	Other	715
Ocuniculus_500	Other	64
Ocuniculus_50	Other	7
Ppersica_5k	Other	2114
Ppersica_500	Other	216
Ppersica_50	Other	26
Slycopersicum_5k	Other	1267
Slycopersicum_500	Other	118
Slycopersicum_50	Other	15
Ssalar_5k	Other	1261
Ssalar_500	Other	133
Ssalar_50	Other	12
Sscrofa_5k	Other	1224
Sscrofa_500	Other	116
Sscrofa_50	Other	19
Taestivum_5k	Other	642
Taestivum_500	Other	59
Taestivum_50	Other	3
Zmays_5k	Other	2660
Zmays_500	Other	260
Zmays_50	Other	24
