pos     5pC>T
1       0.0286195286195286
2       0.0396825396825397
3       0.0212443095599393
4       0.0442176870748299
5       0.0241379310344828
6       0.0157068062827225
7       0.0253411306042885
8       0.0129151291512915
9       0.00894454382826476
10      0.0252252252252252
11      0.0178571428571429
12      0.0155172413793103
13      0.0171821305841924
14      0.011864406779661
15      0.0157728706624606
16      0.013745704467354
17      0.0069204152249135
18      0.00902527075812274
19      0.0101180438448567
20      0.00964630225080386
21      0.0181219110378913
22      0.0123456790123457
23      0.0139130434782609
24      0.0159744408945687
25      0.016
